,level_0,Date,Close,High,Low,Open,Volume,SMA_05,SMA_08,SMA_13,SMA_21,EMA_50,EMA_200,VolumeSMA_14,RSI,MACD,MACD_Signal,MACD_Hist,BB_Up,BB_Mid,BB_Low,Plus_DMI,Minus_DMI,ADX,SAR,SAR_MoreSensitive,SAR_LessSensitive,Tenkan_sen,Kijun_sen,Senkou_Span_A,Senkou_Span_B,Chikou_Span,ATR,NATR,TRANGE,APO,CCI,CMO,MFI,MOM,ROC,ROCP,ROCR,ROCR100,STOCH_K,STOCH_D,STOCHF_K,STOCHF_D,STOCHRSI_K,STOCHRSI_D,TRIX,ULTOSC,WILLR,OBV,AD,CMF,VPT,BOP
121,BERG-B.ST,2025-04-07,283.0,294.5,262.5,281.5,152672.0,289.6,288.625,288.38461538461536,291.45238095238096,300.75612814176674,,32976.42857142857,39.12647444966635,-5.724807736879654,-6.093112064900123,0.36830432802046875,301.50714042925205,291.0,280.49285957074795,16.663185967258947,31.081775994428583,10.607976758993251,297.3105619758538,296.5,262.5,279.5,295.0,327.875,318.0,,12.053936510986627,4.259341523316829,32.0,-7.092948717948673,-123.86831275720235,-21.7470511006673,34.23698451812972,-10.5,-3.5775127768313486,-0.03577512776831346,0.9642248722316865,96.42248722316864,63.49426563078063,74.83351831298559,60.29411764705882,63.49426563078063,0.0,2.576908446510013,-0.07038291622264436,66.50982694986146,-65.54621848739497,-591420.0,131236.8867687017,0.30811365451545236,-5474.056291663219,0.046875
243,HEM.ST,2025-04-07,348.0,372.6000061035156,339.0,344.6000061035156,240718.0,360.64000244140624,351.75,348.93846247746393,345.5904773530506,363.2598468175831,,183835.0,45.472503878178294,-4.633455721298901,-8.195912018523249,3.5624562972243474,367.2812795814436,345.81000061035155,324.3387216392595,25.41180513949171,28.400268532592747,26.926146853716954,333.2221205410156,337.38120041210937,331.0443749766846,352.6999969482422,368.79998779296875,400.5,377.3000030517578,,14.00396030006653,4.024126523007624,33.600006103515625,-3.788461538461547,48.14905055460563,-9.054992243643403,45.7316858514359,3.0,0.8695652173912993,0.008695652173913044,1.008695652173913,100.8695652173913,67.32043456855153,77.83032474104014,31.249995415028,67.32043456855153,0.0,59.47601522626866,-0.060939538872373245,56.25782843512964,-59.832625832290006,-1638584.0,1548565.7965365124,0.1004665645484517,-26822.95024510772,0.10119027615678403
365,INDT.ST,2025-04-07,244.0,263.6000061035156,239.39999389648438,240.0,449424.0,266.4813720703125,271.58553314208984,278.5700871394231,283.63363211495533,289.4544615893448,,302754.0,20.231825363287122,-10.134474981548294,-6.496964333803952,-3.6375106477443424,309.1967837999912,283.26672515869143,257.3366665173917,6.992240879949254,42.188797833319676,33.073853748451484,281.98048899831406,278.11442312343934,289.9914795357855,265.28478457821666,274.0871319924284,311.93914721104653,297.7960705041471,,9.242105079066135,3.7877479832238263,24.20001220703125,-9.895812205779237,-217.02911592072374,-59.53634927342575,11.354425289682919,-44.7958984375,-15.511265457668733,-0.15511265457668727,0.8448873454233127,84.48873454233127,10.713347008964973,21.209734310402883,11.304315817846964,10.713347008964973,0.0,6.442566084294929,-0.015649155991415142,33.36025890865116,-92.51569639736913,2086410.0,1569033.115946372,-0.14464233465979653,-41807.379914375706,0.16528917282272323
