,Date,Close,High,Low,Open,Volume,SMA_05,SMA_08,SMA_13,SMA_21,EMA_50,EMA_200,VolumeSMA_14,RSI,MACD,MACD_Signal,MACD_Hist,BB_Up,BB_Mid,BB_Low,Plus_DMI,Minus_DMI,ADX,SAR,SAR_MoreSensitive,SAR_LessSensitive,Tenkan_sen,Kijun_sen,Senkou_Span_A,Senkou_Span_B,Chikou_Span,ATR,NATR,TRANGE,APO,CCI,CMO,MFI,MOM,ROC,ROCP,ROCR,ROCR100,STOCH_K,STOCH_D,STOCHF_K,STOCHF_D,STOCHRSI_K,STOCHRSI_D,TRIX,ULTOSC,WILLR,OBV,AD,CMF,VPT,BOP
BERG-B.ST,2024-10-24,327.0,332.0,325.0,326.0,25308.0,318.1,318.0,,,,,,,,,,,,,,,,305.0,305.0,305.0,318.5,,,,265.5,,,7.0,,,,,24.0,7.920792079207928,0.07920792079207921,1.0792079207920793,107.92079207920793,62.23120089786756,39.064375953264836,81.48148148148148,62.23120089786756,,,,,,222195.0,-27358.76445648947,,3887.7588127179647,0.14285714285714285
BERG-B.ST,2024-10-25,315.5,328.5,314.5,325.5,102457.0,317.8,317.5,,,,,,,,,,,,,,,,306.08,307.16,306.35,318.5,,,,285.0,,,14.0,,,,,4.0,1.284109149277679,0.012841091492776886,1.0128410914927768,101.28410914927768,68.12345679012346,55.14178825289937,38.888888888888886,68.12345679012346,,,,,,119738.0,-115179.05017077518,,284.53098397178746,-0.7142857142857143
BERG-B.ST,2024-10-28,316.5,323.5,314.5,316.5,24158.0,318.7,317.75,315.9230769230769,,,,,,,,,,,,,,,307.1168,309.1472,307.63250000000005,318.5,,,,284.0,,,9.0,,,,,0.0,0.0,0.0,1.0,100.0,54.32098765432098,61.55854844743734,42.59259259259259,54.32098765432098,,,,,,143896.0,-128600.16128188629,,361.10150695118523,0.0
BERG-B.ST,2024-10-29,305.5,320.0,303.0,317.0,26543.0,318.1,316.0,316.11538461538464,,,,31998.928571428572,,,,,,,,,,,332.0,332.0,332.0,317.5,,,,294.5,,,17.0,,-88.551236749117,,,-14.0,-4.381846635367759,-0.04381846635367762,0.9561815336463224,95.61815336463224,30.03405704555129,50.82616716333192,8.620689655172415,30.03405704555129,,,,,-85.48387096774194,117353.0,-147336.39657600393,,-561.4040222747232,-0.6764705882352942
BERG-B.ST,2024-10-30,305.0,309.0,302.5,305.5,130537.0,313.9,314.5,315.61538461538464,,,,35029.42857142857,51.25000000000001,,,,,,,24.334600760456272,26.645217899970753,,331.42,330.84,331.71,317.25,,,,293.0,9.357142857142858,3.067915690866511,6.5,,-142.82033263059319,2.499999999999999,35.23632101764964,-9.5,-3.0206677265500748,-0.030206677265500796,0.9697933227344993,96.97933227344993,19.895952839650473,34.75033251317426,8.474576271186441,19.895952839650473,,,,,-91.52542372881356,-13184.0,-177460.319652927,,-775.0488667919082,-0.07692307692307693
BERG-B.ST,2024-10-31,299.5,308.0,299.5,304.5,20286.0,308.4,312.9375,314.3076923076923,,,,34054.78571428572,47.71709937332139,,,,,,,22.637560434500514,27.24837271604679,,330.26320000000004,328.5728,331.12579999999997,315.75,,,,296.0,9.29591836734694,3.103812476576608,8.5,,-161.14261709724812,-4.565801253357213,29.263986001949473,-20.0,-6.259780907668233,-0.06259780907668232,0.9374021909233177,93.74021909233177,5.698421975452945,18.542810620218244,0.0,5.698421975452945,,,,,-100.0,-33470.0,-197746.319652927,,-1140.8619815460065,-0.5882352941176471
BERG-B.ST,2024-11-01,303.5,304.5,299.0,299.0,7977.0,306.0,312.3125,313.0769230769231,,,,33417.92857142857,50.39529565501469,,,,,,,21.588457741386218,26.406893173921514,,328.417408,325.08406399999996,330.17702599999996,315.5,,,,292.5,9.024781341107873,2.9735688109086897,5.5,,-125.85933368587995,0.7905913100294008,26.661259566709468,-13.5,-4.258675078864349,-0.04258675078864353,0.9574132492113565,95.74132492113566,8.947307736653977,11.513894183919142,18.367346938775512,8.947307736653977,,,,,-86.36363636363636,-25493.0,-192670.04692565426,,-1034.324418941666,0.8181818181818182
BERG-B.ST,2024-11-04,295.5,303.5,293.5,300.5,66395.0,301.8,308.5,311.61538461538464,,,,35947.78571428572,45.38763426988417,,,,,,,19.792443458908977,28.78564708284882,,326.06401536000004,320.91061376,328.92994495999994,312.75,,,,295.0,9.094439816743025,3.0776446080348645,10.0,,-139.39393939393904,-9.22473146023167,18.5370373811611,-16.5,-5.288461538461542,-0.052884615384615384,0.9471153846153846,94.71153846153845,8.638172250032081,7.7613006540463445,7.547169811320754,8.638172250032081,,,,,-94.8051948051948,-91888.0,-232507.04692565426,,-2784.4397401937254,-0.5
BERG-B.ST,2024-11-05,299.0,301.5,295.5,295.5,17954.0,300.5,305.0,310.03846153846155,,,,36405.642857142855,47.83009582630522,,,,,,,18.782763817650064,27.317193635938295,,322.80761382400004,315.428491008,327.15844771199994,312.75,,,,300.5,8.873408401261381,2.9676951174787227,6.0,,-106.39134709931095,-4.3398083473895674,21.768450717230664,-9.5,-3.0794165316045397,-0.03079416531604538,0.9692058346839546,96.92058346839546,20.466129239279393,12.683869741988493,35.483870967741936,20.466129239279393,,,,,-85.71428571428571,-73934.0,-229514.7135923209,,-2571.7866099060775,0.5833333333333334
BERG-B.ST,2024-11-06,298.5,303.5,291.5,298.5,40198.0,299.2,302.875,308.61538461538464,,,,37850.357142857145,47.50324718202946,,,,328.6702076953842,310.675,292.67979230461583,16.923314710539085,27.912777209111056,,319.8768524416,311.0427928064,325.4755253263999,310.0,,,,298.0,9.096736372599853,3.0474828718927482,12.0,,-97.72079772079768,-4.993505635941087,17.08269672511845,-27.5,-8.435582822085886,-0.0843558282208589,0.9156441717791411,91.56441717791411,28.485094401101694,19.1964652968044,42.42424242424242,28.485094401101694,,,,,-82.71604938271605,-114132.0,-222815.04692565426,-0.3046701729524406,-2639.007345692031,0.0
